,Unnamed: 0,Date,Country_Region,Province_State,GDP,Urbanization,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
3988,4102,2/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,2.5,62.0,9.8,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3989,4103,3/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,4.3,48.0,10.6,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3990,4104,3/1/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,0.4,50.0,7.9,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3991,4105,3/11/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,11.4,48.0,10.6,0.0,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3992,4106,2/20/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,-0.1,41.0,18.1,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3993,4107,2/21/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,-2.8,41.0,12.4,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3994,4108,2/28/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,3.0,43.0,21.3,0.0,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3995,4109,3/4/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,9.2,53.0,21.8,0.0,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3996,4110,3/1/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,2.4,38.0,17.8,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3997,4111,3/9/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,10.0,47.0,3.9,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3998,4112,3/7/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,4.7,46.0,24.8,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3999,4113,3/4/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,9.2,53.0,21.8,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
4000,4114,3/13/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,12.4,74.0,15.4,6.6,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
4001,4115,3/8/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.2589,-74.124,6.8,37.0,13.2,0.0,5.881081081081081,59.270270270270274,14.616216216216214,1.8397297297297293,3/10/2020,1.0,0.0
4002,4116,3/5/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,8.0,43.0,13.5,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
4003,4117,2/21/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,-3.4,46.0,8.2,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
4004,4118,3/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,8.3,37.0,8.5,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
