,Unnamed: 0,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases,GDP
1627,1627,3/15/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.07,-81.4279,22.8,85,9.3,0.0,23.1,76.30434783,11.93478261,0.0,3/16/2020,1.0,0.0,
1628,1628,3/03/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,19.7,99,12.6,0.25,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1629,1629,2/24/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.1901,-80.3659,22.7,57,16.7,0.0,22.58421053,70.07894737,15.85789474,1.831315789,3/09/2020,1.0,3.0,
1630,1630,3/17/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.9904,-82.3018,22.3,80,2.1,0.0,19.13947368,78.10526316,6.339473684,0.0,3/08/2020,1.0,2.0,
1631,1631,3/11/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.769,-86.9824,20.6,80,11.6,0.0,16.26578947,77.47368421,11.70526316,0.367631579,3/07/2020,1.0,1.0,
1632,1632,2/26/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.028,-81.0755,18.6,91,11.3,16.0,18.83684211,78.44736842,11.52105263,0.995789474,3/08/2020,1.0,1.0,
1633,1633,3/20/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,21.9,78,5.9,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1634,1634,3/15/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,20.2,71,6.3,0.0,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1635,1635,3/02/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.1901,-80.3659,22.2,55,20.8,0.0,22.58421053,70.07894737,15.85789474,1.831315789,3/09/2020,1.0,3.0,
1636,1636,3/17/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.4799,-82.3452,23.9,78,11.0,0.0,20.78157895,74.36842105,14.82631579,0.4410526320000001,3/09/2020,1.0,2.0,
1637,1637,3/07/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.7938,-82.4944,9.6,50,13.3,0.0,16.80526316,76.94736842,9.589473684,1.029473684,3/02/2020,1.0,0.0,
1638,1638,2/18/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.663,-81.9535,25.3,71,8.3,0.0,21.81842105,69.55263158,12.91052632,0.180263158,3/08/2020,1.0,2.0,
1639,1639,2/17/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.769,-86.9824,15.3,93,7.6,0.0,16.26578947,77.47368421,11.70526316,0.367631579,3/07/2020,1.0,1.0,
1640,1640,2/22/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,4.1,79,4.1,0.0,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1641,1641,3/21/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,23.7,68,6.3,0.0,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
